,unit_name,furnish_status,num_rooms,num_bathroom,elec_power,location,longitude,latitude,size,room_type,property_type,building,tower,floor_num,room_facility,kitchen_facility,building_facility,clean_rating,location_rating,satisfaction_rating,checkin/out_rating,economic_rating,staff_rating,total_rating,monthly_price
0,Comfort 2BR at Nifarro Park Apartment By Travelio - Jakarta,Full Furnished,2,1.0,3600.0,"Jl. Raya Pasar Minggu, RT.1/RW.1, Pejaten Timur, Pasar Minggu, Jakarta Selatan, DKI Jakarta, 12510",106.84415861964226,-6.263363578451597,51.5,Seluruh Rumah / Apartemen,Apartemen,Apartemen Nifarro Park,A,11.0,"Queen Bed (160x200),Pillow,Wardrobe,Air Conditioner,Curtain,Hanger,AC Remote,Bed Config :,1 Queen Bed (160x200)","Single Bed (100x200),Pillow,Wardrobe,Air Conditioner,Hanger,AC Remote,Bed Config :,1 Single Bed (100x200)","Access Card,Elevator",5.0,5.0,5.0,5.0,5.0,5.0,5.0,7536412.0
1,Cozy Stay Studio Tokyo Riverside PIK 2 Apartment By Travelio - Jakarta,Full Furnished,1,1.0,1300.0,"Lemo, Kabupaten Tangerang, Banten, Indonesia",106.692587,-6.0420121,21.0,Seluruh Rumah / Apartemen,Apartemen,Apartemen Tokyo Riverside PIK 2,AKHIBARA,16.0,"Queen Bed (160x200),Wardrobe,Air Conditioner,Curtain,Smart TV,Pillow,Hanger,AC Remote,Remote TV,Mirror,Vanity Desk,Chair,Bed Config :,1 Queen Bed (160x200)","Gas Stove (Not Portable),Refrigerator,Rice Cooker,Glass Wiper,Fork,Plate,Mug,Bowl,Kitchen Cabinet,Electric Kettle,Dustbin,Tablespoon,Chopping Board,Cooking Knife,Frying Pan,Sauce Pan,Spatula,Ladle Soup,Kitchen Scissor","24-Hour Security,Jogging Track,Playground,Supermarket,Swimming Pool",4.9,4.9,4.9,4.9,4.9,4.9,4.9,3320000.0
2,Comfort Studio Room at Tifolia Apartment By Travelio - Jakarta,Full Furnished,1,1.0,1300.0,"Jl. Perintis Kemerdekaan No.23, RW.16, Kayu Putih, Pulo Gadung, Jakarta Timur, DKI Jakarta, 13210",106.89268112182617,-6.175350308134791,21.0,Seluruh Rumah / Apartemen,Apartemen,Apartemen Tifolia,TF,22.0,"Queen Bed (160x200),Wardrobe,Air Conditioner,Blackout Curtain,TV 32"",Pillow,Hanger,AC Remote,Remote TV,Cable TV,Mirror,Dining Chair,Dining Table,Coffee Table,Bed Config :,1 Queen Bed (160x200)","Electric Stove,Refrigerator,Rice Cooker,Glass Wiper,Fork,Plate,Mug,Bowl,Kitchen Cabinet,Electric Kettle,Dustbin,Tablespoon,Chopping Board,Cooking Knife,Frying Pan,Sauce Pan,Spatula,Ladle Soup,Kitchen Scissor","24-Hour Security,CCTV In Public Area,Elevator,Swimming Pool",4.8,4.8,4.8,4.8,4.8,4.8,4.8,3470000.0
3,Comfort 2BR at 20th Floor Green Pramuka City Apartment By Travelio - Jakarta,Full Furnished,2,1.0,1300.0,"Jl. A. Yani No.32, RT.16/RW.9, Rawasari, Cempaka Putih, Jakarta Pusat, DKI Jakarta, 10570",106.87484,-6.188552,33.0,Seluruh Rumah / Apartemen,Apartemen,Apartemen Green Pramuka City,BOUGENVILLE,20.0,"Queen Bed (160x200),Mattress Protector 200x200,Pillow,Mirror,Wardrobe,Air Conditioner,Blackout Curtain,Hanger,Vanity Desk,AC Remote,Chair,Bed Config :,1 Queen Bed (160x200)","Single Bed (90x200),Mattress Protector 200x200,Pillow,Wardrobe,Blackout Curtain,Hanger,Exhaust Fan,Bed Config :,1 Single Bed (90x200)","24-Hour Security,ATM On Site,Access Card,CCTV In Public Area,Elevator,Jogging Track,Laundry (Charge),Playground,Restaurant,Supermarket,Swimming Pool",,,,,,,,5199315.0
4,Comfortable and Simply Studio at Citra Living Apartment By Travelio - Jakarta,Full Furnished,1,1.0,1200.0,"Jl. Citra 7 No.7, RW.11, Kalideres, Kalideres, Jakarta Barat, DKI Jakarta, 11840",106.70166358351707,-6.146017734755382,22.61,Seluruh Rumah / Apartemen,Apartemen,Apartemen Citra Living,Lotus,3.0,"Queen Bed (160x200),Wardrobe,Air Conditioner,Curtain,Smart TV,Pillow,Hanger,AC Remote,Remote TV,Antena Indoor,Mirror,Vanity Desk,Chair,Bed Config :,1 Queen Bed (160x200)","Induction Stove (2 Furnace),Refrigerator,Rice Cooker,Glass Wiper,Fork,Plate,Mug,Bowl,Kitchen Cabinet,Electric Kettle,Dustbin,Tablespoon,Chopping Board,Cooking Knife,Frying Pan,Sauce Pan,Spatula,Ladle Soup,Kitchen Scissor","24-Hour Security,CCTV In Public Area,Fitness Center,Playground,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,4405470.0
5,Affordable 2BR Gajah Mada Mediterania Apartment By Travelio - Jakarta,Full Furnished,2,1.0,2200.0,"Jl. Gajah Mada No.174, Tamansari, Jakarta Barat, DKI Jakarta, 10130",106.81557297706604,-6.149269878169312,40.66,Seluruh Rumah / Apartemen,Apartemen,Apartemen Gajah Mada Mediterania,Betha,20.0,"Bowl,Chopping Board,Colander,Cooking Knife,Dining Chair,Dining Table,Dustbin,Exhaust Fan,Fork,Frying Pan,Gallon,Gas Stove,Kettle (Siul),Kitchen Set,Mops,Plate,Refrigerator,Sauce Pan,Scissor,Spatula,Tablespoon,Water Dispenser","Air Conditioner,TV,Sofa","24-Hour Security,Access Card,CCTV In Public Area,Elevator,Swimming Pool",4.8,4.8,4.8,4.8,4.8,4.8,4.8,5559277.0
6,Comfy 2BR Puri Orchard Apartment By Travelio - Jakarta,Full Furnished,2,1.0,3500.0,"Jl. Lkr. Luar Barat No.Kav.8, RT.2/RW.3, Rw. Buaya, Cengkareng, Jakarta Barat, DKI Jakarta, 11740",106.72925412654877,-6.166091635602988,50.0,Seluruh Rumah / Apartemen,Apartemen,Apartemen Puri Orchard,CH Wing A,28.0,"Bowl,Chopping Board,Colander,Cooking Knife,Dining Chair,Dining Knife,Dining Table,Dustbin,Exhaust Fan,Fork,Frying Pan,Gas Stove,Kettle (Siul),Kitchen Scissor,Kitchen Set,Microwave,Mixing Bowl,Mops,Plate,Refrigerator,Sauce Pan,Serving Plate,Spatula,Tablespoon","Curtain,Air Conditioner,TV,Sofa,Sofa Pillow,Side Table","24-Hour Security,Basketball Court,Elevator,Fitness Center,Laundry (Charge),Minimarket,Playground,Sky Garden,Swimming Pool",4.9,4.9,4.9,4.9,4.9,4.9,4.9,7090000.0
7,Comfy 2BR Gading Greenhill Apartment By Travelio - Jakarta,Full Furnished,2,1.0,2200.0,"Jl. Pegangsaan Dua No.97, Pegangsaan Dua, Kelapa Gading, Jakarta Utara, DKI Jakarta, 14240",106.91625773906708,-6.147627141545745,79.76,Seluruh Rumah / Apartemen,Apartemen,Apartemen Gading Greenhill,A,16.0,"Queen Bed (160x200),Pillow,Bolster,Wardrobe,Hanger,Mirror,Vanity Desk,Air Conditioner,TV,Table,Chair,Side Table,Clock,Blackout Curtain,Blanket,Bed Config :,1 Queen (160x200)","Single Bed (100x200),Pillow,Wardrobe,Setrika,Iron Board,Desk,Blackout Curtain,Blanket,Bed Config :,1 Single (100x200)","24-Hour Security,ATM On Site,Access Card,CCTV In Public Area,Elevator,Fitness Center,Laundry (Charge),Supermarket,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,6456485.0
8,Comfortable 2BR at Green Palace Kalibata Apartment By Travelio - Jakarta,Full Furnished,3,1.0,2200.0,"Jl. Raya Kalibata No.09/04, RT.1 Rt/RW.4, Rawajati, Pancoran, Jakarta Selatan, DKI Jakarta, 12750",106.85046046972275,-6.256900672828798,35.5,Seluruh Rumah / Apartemen,Apartemen,Apartemen Green Palace Kalibata,Nusa Indah,6.0,"Queen Bed (160x200),Pillow,Wardrobe,Hanger,Mirror,Curtain,Vanity Desk,Air Conditioner,Bed Config :,1 Queen (160x200)","Single Bed (100x200),Pillow,Wardrobe,Hanger,Mirror,Vanity Desk,Exhaust Fan,Bed Config :,1 Single (100x200),1 Single (Underbed)","ATM On Site,Access Card,Cafe,Elevator,Laundry (Charge),Playground,Restaurant,Shops",4.8,4.8,4.8,4.8,4.8,4.8,4.8,5110968.0
9,Comfy 2BR Callia Apartment By Travelio - Jakarta,Full Furnished,2,2.0,3500.0,"Jl. Perintis Kemerdekaan No.23, Kayu Putih, Pulo Gadung, Jakarta Timur, DKI Jakarta, 13210",106.89276158809662,-6.176491630988401,64.0,Seluruh Rumah / Apartemen,Apartemen,Apartemen Callia,CL,20.0,"Bowl,Chopping Board,Cooking Knife,Dining Chair,Dustbin,Fork,Frying Pan,Gas Stove,Microwave,Mops,Mug,Plate,Refrigerator,Sauce Pan,Tablespoon,Teko Elektrik,Washing Machine","Washing Machine,Dustbin,Mirror,Curtain,Air Conditioner,TV,Sofa Bed,Complimentary Bottled Water","24-Hour Security,ATM On Site,Access Card,Cafe,Elevator,Fitness Center,Restaurant,Supermarket,Swimming Pool",4.9,4.9,4.9,4.9,4.9,4.9,4.9,7091500.0
10,Luxurious Private Access 2BR at Puri Mansion Apartment By Travelio - Jakarta,Full Furnished,3,2.0,3500.0,"Jl. Lkr. Luar Barat, RT.8/RW.2, Kembangan Selatan, Cengkareng, Jakarta Barat, DKI Jakarta, 11610",106.72348737716675,-6.181152895972963,49.0,Seluruh Rumah / Apartemen,Apartemen,Apartemen Puri Mansion,Crystal,19.0,"Bowl,Chopping Board,Cooking Knife,Dining Chair,Dining Table,Dustbin,Exhaust Fan,Fork,Frying Pan,Gas Stove,Kettle (Siul),Kitchen Scissor,Kitchen Set,Mops,Mug,Plate,Refrigerator,Sauce Pan,Spatula,Tablespoon,Washing Machine,Water Dispenser","Curtain,Air Conditioner,TV,Sofa,Table,Telephone,Cable TV,Complimentary Bottled Water","24-Hour Security,Access Card,CCTV In Public Area,Elevator,Jogging Track,Playground,Swimming Pool",4.8,4.8,4.8,4.8,4.8,4.8,4.8,7952500.0
11,Spacious and Comfy 2BR Nifarro Park Apartment By Travelio - Jakarta,Full Furnished,2,1.0,2200.0,"Jl. Raya Pasar Minggu, RT.1/RW.1, Pejaten Timur, Pasar Minggu, Jakarta Selatan, DKI Jakarta, 12510",106.84415861964226,-6.263363578451597,51.0,Seluruh Rumah / Apartemen,Apartemen,Apartemen Nifarro Park,A,15.0,"Queen Bed (160x200),Pillow,Wardrobe,Hanger,Curtain,Air Conditioner,Side Table,Bed Config :,1 Queen (160x200)","Single Bed (100x200),Pillow,Air Conditioner,Sofa Pillow,Fan,Bed Config :,1 Single (100x200)","Access Card,Elevator",5.0,5.0,5.0,5.0,5.0,5.0,5.0,6511910.0
12,Elegant and Warm 1BR at Citralake Suites Apartment By Travelio - Jakarta,Full Furnished,1,1.0,2200.0,"Jl. Citra Garden City 6 Boulevard No.5, RT.4/RW.5, Tegal Alur, Kalideres, Jakarta Barat, DKI Jakarta, 11820",106.7124409007257,-6.128143480872805,48.96,Seluruh Rumah / Apartemen,Apartemen,Apartemen CitraLake Suites,Oakwood (2),8.0,"Queen Bed (160x200),Wardrobe,Air Conditioner,Curtain,Pillow,Mirror,Hanger,AC Remote,Chair,Table,Bed Config :,1 Queen Bed (160x200)","Sofa,TV,Curtain,Air Conditioner,AC Remote,Remote TV,TV Cabinet,Antena Indoor,Chair,Table","24-Hour Security,Access Card,CCTV In Public Area,Elevator,Fitness Center,Playground,Swimming Pool",,,,,,,,7262760.0
13,Modern Studio (No Kitchen) Apartment at Osaka Riverview PIK 2 By Travelio - Jakarta,Full Furnished,1,1.0,1300.0,"Salembaran Jati, Kosambi, Kab Tangerang, Banten, 15214",106.6785603761673,-6.057854309284673,14.16,Seluruh Rumah / Apartemen,Apartemen,Apartemen Osaka Riverview PIK 2,ASAHIKAWA,9.0,"Queen Bed (160x200),Air Conditioner,Curtain,TV,Pillow,Hanger,AC Remote,Remote TV,Antena Building,Mini Bar,Rice Cooker,Glass Wiper,Fork,Plate,Mug,Bowl,Electric Kettle,Dustbin,Tablespoon,Chopping Board,Cooking Knife,Kitchen Scissor,Chair,Microwave,Stand Hanger,Bed Config :,1 Queen Bed (160x200)","Toilet Bowl,Shower,Dustbin,Exhaust Fan","24-Hour Security,CCTV Public Area,Fitness Center,Playground,Swimming Pool",,,,,,,,2559642.0
14,Best Deal and High Floor 2BR at Bassura City Apartment By Travelio - Jakarta,Full Furnished,3,1.0,1300.0,"Jl. Jend. Basuki Rachmat No.1A, Cipinang Besar Sel., Jatinegara, Jakarta Timur, DKI Jakarta, 13410",106.88039,-6.22276,34.37,Seluruh Rumah / Apartemen,Apartemen,Apartemen Bassura City,C,30.0,"Queen Bed (160x200),Pillow,Mirror,Wardrobe,Air Conditioner,Curtain,Hanger,AC Remote,Chair,Table,Bed Config :,1 Queen Bed (160x200)","Trundle Bed (Single Bed & Single Underbed),Pillow,Wardrobe,Fan,Hanger,Exhaust Fan,Table,Chair,Bed Config :,1 Trundle Bed (Single Bed & Single Underbed)","24-Hour Security,24-Hours Frontdesk,ATM On Site,Access Card,CCTV In Public Area,Cafe,Coffee Shop,Elevator,Fitness Center,Jogging Track,Laundry (Charge),Mall Access,Playground,Restaurant,Shops,Supermarket,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,4555000.0
15,Elegant and Strategic 2BR at Thamrin Executive Apartment By Travelio - Jakarta,Full Furnished,2,1.0,3600.0,"Jl. Kebon Melati 4 No.1A, RT.4/RW.9, Kebon Melati, Tanah Abang, Jakarta Pusat, DKI Jakarta, 10230",106.81650638580322,-6.196053735160279,57.0,Seluruh Rumah / Apartemen,Apartemen,Apartemen Thamrin Executive,TX,16.0,"Queen Bed (160x200),Pillow,Mirror,Wardrobe,Air Conditioner,Blackout Curtain,TV,Hanger,Vanity Desk,AC Remote,Remote TV,Antena Building,Chair,Bed Config :,1 Queen Bed (160x200)","Single Bed (100x200),Pillow,Wardrobe,Air Conditioner,Curtain,Hanger,AC Remote,Chair,Vanity Desk,Bed Config :,1 Single Bed (100x200)","24-Hour Security,ATM On Site,Access Card,Cafe,Coffee Shop,Elevator,Fitness Center,Laundry (Charge),Playground,Restaurant,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,8165000.0
16,2BR Best Rate Kebayoran Icon Apartment near Gandaria City By Travelio - Jakarta,Full Furnished,2,1.0,2200.0,"Jl. Ciledug Raya No.35, RT.5/RW.2, Cipulir, Kebayoran Lama, Jakarta Selatan, DKI Jakarta, 12230",106.77818566560745,-6.238003414447544,55.0,Seluruh Rumah / Apartemen,Apartemen,Apartemen Kebayoran Icon,KEBAYORAN ICON,23.0,"Queen Bed (160x200),Pillow,Wardrobe,Air Conditioner,Curtain,Side Table,Hanger,AC Remote,Chair,Iron Board,Table,Bed Config :,1 Queen Bed (160x200)","Single Bed (100x200),Pillow,Wardrobe,Air Conditioner,Curtain,Hanger,AC Remote,Exhaust Fan,Side Table,Bed Config :,1 Single Bed (100x200)","24-Hour Security,Access Card,Elevator,Fitness Center,Shops,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,6515000.0
17,Spacious 2BR with Working Room at Grand Palace Kemayoran Apartment By Travelio - Jakarta,Full Furnished,2,2.0,2200.0,"Jl. Casa No.5, RT.13/RW.6, Kb. Kosong, Kemayoran, Jakarta Pusat, DKI Jakarta, 10630",106.85292541980743,-6.160694224255892,91.4,Seluruh Rumah / Apartemen,Apartemen,Apartemen Grand Palace Kemayoran,D,8.0,"King Bed (180x200),Pillow,Wardrobe,Air Conditioner,Curtain,TV,Side Table,Hanger,AC Remote,Remote TV,Antena Building,Bed Config :,1 King Bed (180x200)","Super Single Bed (120x200),Mattress Protector 120x200,Pillow,Wardrobe,Air Conditioner,Blackout Curtain,AC Remote,Bed Config :,1 Super Single Bed (120x200)","ATM On Site,Cafe,Fitness Center,Jogging Track,Laundry (Charge),Playground,Restaurant,Supermarket,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5810000.0
18,Best 3BR Apartment Grand Palace Kemayoran with Sofabed By Travelio - Jakarta,Full Furnished,5,2.0,3500.0,"Jl. Casa No.5, RT.13/RW.6, Kb. Kosong, Kemayoran, Jakarta Pusat, DKI Jakarta, 10630",106.85292541980743,-6.160694224255892,91.0,Seluruh Rumah / Apartemen,Apartemen,Apartemen Grand Palace Kemayoran,Dario,7.0,"Air Conditioner,TV,Table,Sofa Bed (Double)","Mirror,Shower,Water Heater,Bathroom Sink,Toilet Bowl,Toiletries,Bathtub,Towel","ATM On Site,Cafe,Fitness Center,Jogging Track,Laundry (Charge),Playground,Restaurant,Supermarket,Swimming Pool",4.9,4.9,4.9,4.9,4.9,4.9,4.9,7747231.0
19,Homey 2BR Bassura City Apartment By Travelio - Jakarta,Full Furnished,3,1.0,2200.0,"Jl. Jend. Basuki Rachmat No.1A, Cipinang Besar Sel., Jatinegara, Jakarta Timur, DKI Jakarta, 13410",106.88039,-6.22276,30.25,Seluruh Rumah / Apartemen,Apartemen,Apartemen Bassura City,Dahlia,16.0,"Shower,Toilet Bowl,Toiletries,Towel","Queen Bed (160x200),Pillow,Wardrobe,Hanger,Curtain,Blanket,Bed Config :,1 Queen (160x200)","24-Hour Security,24-Hours Frontdesk,ATM On Site,Access Card,CCTV In Public Area,Cafe,Coffee Shop,Elevator,Fitness Center,Jogging Track,Laundry (Charge),Mall Access,Playground,Restaurant,Shops,Supermarket,Swimming Pool",4.8,4.8,4.8,4.8,4.8,4.8,4.8,4540928.0
20,Cozy Living and Modern 2BR Bassura City Apartment By Travelio - Jakarta,Full Furnished,2,1.0,1300.0,"Jl. Jend. Basuki Rachmat No.1A, Cipinang Besar Sel., Jatinegara, Jakarta Timur, DKI Jakarta, 13410",106.88039,-6.22276,39.99,Seluruh Rumah / Apartemen,Apartemen,Apartemen Bassura City,J,15.0,"Queen Bed (160x200),Pillow,Wardrobe,Air Conditioner,Blackout Curtain,Hanger,Vanity Desk,AC Remote,Chair,Bed Config :,1 Queen Bed (160x200)","Single Bed (100x200),Pillow,Wardrobe,Blackout Curtain,Exhaust Fan,Chair,Desk,Bed Config :,1 Single Bed (100x200)","24-Hour Security,24-Hours Frontdesk,ATM On Site,Access Card,CCTV In Public Area,Cafe,Coffee Shop,Elevator,Fitness Center,Jogging Track,Laundry (Charge),Mall Access,Playground,Restaurant,Shops,Supermarket,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5149177.0
21,Elegant and Cozy Studio at Puri Mansion Apartment By Travelio - Jakarta,Full Furnished,1,1.0,2200.0,"Jl. Lkr. Luar Barat, RT.8/RW.2, Kembangan Selatan, Cengkareng, Jakarta Barat, DKI Jakarta, 11610",106.72348737716675,-6.181152895972963,21.0,Seluruh Rumah / Apartemen,Apartemen,Apartemen Puri Mansion,Diamond,23.0,"Queen Bed (160x200),Wardrobe,Air Conditioner,Curtain,TV,Pillow,Hanger,AC Remote,Remote TV,Digital Channel TV,Mirror,Side Table,Chair,Bed Config :,1 Queen Bed (160x200)","Gas Stove,Refrigerator,Rice Cooker,Glass Wiper,Fork,Plate,Mug,Bowl,Kitchen Cabinet,Electric Kettle,Dustbin,Tablespoon,Chopping Board,Cooking Knife,Frying Pan,Sauce Pan,Spatula,Ladle Soup,Kitchen Scissor,Washing Machine","24-Hour Security,Access Card,CCTV In Public Area,Elevator,Jogging Track,Playground,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,3990000.0
22,Cozy Studio at Osaka Riverview PIK 2 Apartment By Travelio - Jakarta,Full Furnished,1,1.0,1300.0,"Salembaran Jati, Kosambi, Kab Tangerang, Banten, 15214",106.6785603761673,-6.0578449739756275,14.0,Seluruh Rumah / Apartemen,Apartemen,Apartemen Osaka Riverview PIK 2,A,33.0,"Queen Bed (160x200),Wardrobe,Air Conditioner,Blackout Curtain,TV 32"",Pillow,Hanger,AC Remote,Remote TV,Antena Building,Bed Config :,1 Queen Bed (160x200)","Electric Stove,Refrigerator,Rice Cooker,Glass Wiper,Fork,Plate,Mug,Bowl,Kitchen Cabinet,Electric Kettle,Dustbin,Tablespoon,Chopping Board,Cooking Knife,Frying Pan,Sauce Pan,Spatula,Ladle Soup,Kitchen Scissor","24-Hour Security,CCTV Public Area,Fitness Center,Playground,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,2620000.0
23,Simple Studio Room at Way Seputih Residence near Central Park By Travelio - Jakarta,Full Furnished,2,1.0,1300.0,"Jl. Way Seputih V No.2, RT.3/RW.1, Tj. Duren Sel., Grogol Petamburan, Jakarta Barat, DKI Jakarta, 11470",106.788532,-6.181856,14.5,Seluruh Rumah / Apartemen,Apartemen,Guest House Way Seputih,-,4.0,"Dustbin,Shower,Bathroom Sink,Toilet Brush,Toilet Bowl,Toiletries,Toilet Tissue Holder,Towel","Single Bed (100x200),Trundle Bed (Super Single & Single Underbed),Pillow,Wardrobe,Hanger,Air Conditioner,TV,Bed Config :,1 Single (Underbed),1 Single (100x200)",,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2465000.0
24,Cozy 2BR at Delta Cakung Apartment By Travelio - Jakarta,Full Furnished,2,1.0,1300.0,"Jl. Raya Penggilingan No.56, RT.1/RW.19, Penggilingan, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13940",106.93398714065552,-6.193547181023091,32.0,Seluruh Rumah / Apartemen,Apartemen,Apartemen Delta Cakung,DA,,,,"24-Hour Security,CCTV In Public Area",5.0,5.0,5.0,5.0,5.0,5.0,5.0,2409500.0
25,Homey and Compact Studio Apartment Osaka Riverview PIK 2 By Travelio - Jakarta,Full Furnished,1,1.0,1300.0,"Salembaran Jati, Kosambi, Kab Tangerang, Banten, 15214",106.6785603761673,-6.0578449739756275,14.16,Seluruh Rumah / Apartemen,Apartemen,Apartemen Osaka Riverview PIK 2,ASAHIKAWA,,"Queen Bed (160x200),Wardrobe,Air Conditioner,Blackout Curtain,TV,Pillow,Hanger,AC Remote,Remote TV,Antena Building,Mirror,Vanity Desk,Dining Chair,TV Cabinet,Extension Cable,Chair,Bed Config :,1 Queen Bed (160x200)","Induction Stove,Refrigerator,Rice Cooker,Glass Wiper,Fork,Plate,Mug,Bowl,Kitchen Cabinet,Electric Kettle,Water Dispenser (Empty),Dustbin,Tablespoon,Chopping Board,Cooking Knife,Induction Frying Pan,Induction Sauce Pan,Spatula,Ladle Soup,Kitchen Scissor,Microwave","24-Hour Security,CCTV Public Area,Fitness Center,Playground,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,2770000.0
26,Studio Room at Way Seputih Residence near Taman Anggrek By Travelio - Jakarta,Full Furnished,2,1.0,1300.0,"Jl. Way Seputih V No.2, RT.3/RW.1, Tj. Duren Sel., Grogol Petamburan, Jakarta Barat, DKI Jakarta, 11470",106.788532,-6.181856,15.0,Kamar Pribadi,Apartemen,Guest House Way Seputih,-,4.0,"Dustbin,Shower,Bathroom Sink,Toilet Brush,Toilet Bowl,Toiletries,Toilet Tissue Holder,Towel","Single Bed (100x200),Trundle Bed (Super Single & Single Underbed),Pillow,Wardrobe,Hanger,Air Conditioner,TV,Blanket,Bed Config :,1 Super Single (120x200),1 Single (Underbed)",,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2592500.0
27,Furnished and Simply Studio 23rd Floor Osaka Riverview PIK 2 Apartment By Travelio - Jakarta,Full Furnished,2,1.0,1300.0,"Salembaran Jati, Kosambi, Kab Tangerang, Banten, 15214",106.67855501174927,-6.0578449739756275,14.16,Seluruh Rumah / Apartemen,Apartemen,Apartemen Osaka Riverview PIK 2,B,23.0,"Trundle Bed (Super Single Bed & Super Single Underbed),Wardrobe,Air Conditioner,Curtain,TV,Pillow,Hanger,AC Remote,Remote TV,Antena Indoor,Refrigerator,Rice Cooker,Glass Wiper,Fork,Plate,Mug,Bowl,Electric Kettle,Dustbin,Tablespoon,Microwave,Bed Config :,1 Trundle Bed (Super Single Bed & Super Single Underbed)","Toilet Bowl,Shower,Bathroom Sink,Towel Hanger,Dustbin,Exhaust Fan","24-Hour Security,CCTV Public Area,Fitness Center,Playground,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,2871515.0
28,New Furnished and Simply Studio at Osaka Riverview PIK 2 Apartment By Travelio - Jakarta,Full Furnished,1,1.0,1300.0,"Salembaran Jati, Kosambi, Kab Tangerang, Banten, 15214",106.67855501174927,-6.0578449739756275,14.16,Seluruh Rumah / Apartemen,Apartemen,Apartemen Osaka Riverview PIK 2,Asahikawa,8.0,"Queen Bed (160x200),Wardrobe,Air Conditioner,Curtain,TV 32"",Pillow,Hanger,AC Remote,Remote TV,Bed Config :,1 Queen Bed (160x200)","Induction Stove,Refrigerator,Rice Cooker,Glass Wiper,Fork,Plate,Mug,Kitchen Cabinet,Electric Kettle,Dustbin,Tablespoon,Chopping Board,Cooking Knife,Induction Frying Pan,Sauce Pan,Spatula,Ladle Soup,Kitchen Scissor,Microwave","24-Hour Security,CCTV Public Area,Fitness Center,Playground,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,2520000.0
29,Homey Studio Apartment Osaka Riverview PIK 2 By Travelio - Jakarta,Full Furnished,1,1.0,1300.0,"Salembaran Jati, Kosambi, Kab Tangerang, Banten, 15214",106.67856660410845,-6.057861952027133,14.16,Seluruh Rumah / Apartemen,Apartemen,Apartemen Osaka Riverview PIK 2,A,27.0,"Queen Bed (160x200),Wardrobe,Air Conditioner,Curtain,TV 32"",Pillow,Hanger,AC Remote,Remote TV,Antena Building,Mirror,TV Cabinet,Puff Chair,Bed Config :,1 Queen Bed (160x200)","Induction Stove,Refrigerator,Rice Cooker,Glass Wiper,Fork,Plate,Mug,Bowl,Kitchen Cabinet,Electric Kettle,Dustbin,Tablespoon,Chopping Board,Cooking Knife,Frying Pan,Sauce Pan,Spatula,Ladle Soup,Kitchen Scissor","24-Hour Security,CCTV Public Area,Fitness Center,Playground,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,2428569.0
30,Simply and Homey Studio at Osaka Apartment PIK 2 By Travelio - Jakarta,Full Furnished,1,1.0,1300.0,"Salembaran Jati, Kosambi, Kab Tangerang, Banten, 15214",106.67855501174927,-6.0578449739756275,14.16,Seluruh Rumah / Apartemen,Apartemen,Apartemen Osaka Riverview PIK 2,ASAHIKAWA,18.0,"Queen Bed (160x200),Wardrobe,Air Conditioner,Curtain,TV 32"",Pillow,Hanger,AC Remote,Remote TV,Antena Building,Bed Config :,1 Queen Bed (160x200)","Induction Stove (1 Furnace),Refrigerator,Rice Cooker,Glass Wiper,Fork,Plate,Mug,Bowl,Kitchen Cabinet,Electric Kettle,Dustbin,Tablespoon,Chopping Board,Cooking Knife,Frying Pan,Induction Sauce Pan,Spatula,Ladle Soup,Kitchen Scissor,Microwave","24-Hour Security,CCTV Public Area,Fitness Center,Playground,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,2474163.0
