,unit_name,furnish_status,num_rooms,num_bathroom,elec_power,location,longitude,latitude,size,room_type,property_type,building,tower,floor_num,room_facility,kitchen_facility,building_facility,clean_rating,location_rating,satisfaction_rating,checkin/out_rating,economic_rating,staff_rating,total_rating,monthly_price
222,Studio Room at Tifolia Apartment near Kelapa Gading By Travelio - Jakarta,Full Furnished,1,1.0,900.0,"Jl. Perintis Kemerdekaan No.23, RW.16, Kayu Putih, Pulo Gadung, Jakarta Timur, DKI Jakarta, 13210",106.89268112182617,-6.175350308134791,21.0,Seluruh Rumah / Apartemen,Apartemen,Apartemen Tifolia,A2,16.0,"Chopping Board,Cooking Knife,Dustbin,Electric Stove,Fork,Frying Pan,Kettle (Siul),Mops,Mug,Plate,Refrigerator,Sauce Pan,Spatula,Tablespoon",Complimentary Bottled Water,"24-Hour Security,CCTV In Public Area,Elevator,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,3898553.0
223,Nice and Warm Studio at Belmont Residence Puri Apartment By Travelio - Jakarta,Full Furnished,1,1.0,1300.0,"Jl. Kebon Jeruk Indah Utama, RT.8/RW.7, Srengseng, Kembangan, Jakarta Barat, DKI Jakarta, 11630",106.76275759935379,-6.200400178473442,21.0,Seluruh Rumah / Apartemen,Apartemen,Apartemen Belmont Residence Puri,Everest,23.0,"Queen Bed (160x200),Wardrobe,Air Conditioner,Curtain,TV,Pillow,Hanger,AC Remote,Remote TV,Antena Indoor,Mirror,TV Cabinet,Bed Config :,1 Queen Bed (160x200)","Gas Stove,Refrigerator,Rice Cooker,Glass Wiper,Fork,Plate,Mug,Bowl,Kitchen Cabinet,Electric Kettle,Water Dispenser (Empty),Dustbin,Tablespoon,Chopping Board,Cooking Knife,Frying Pan,Sauce Pan,Spatula,Ladle Soup,Kitchen Scissor","24-Hour Security,24-Hours Frontdesk,ATM On Site,Access Card,CCTV In Public Area,Cafe,Coffee Shop,Elevator,Laundry (Charge),Restaurant,Supermarket,Swimming Pool",4.7,4.7,4.7,4.7,4.7,4.7,4.7,3656394.0
224,Comfort Living Bassura City Studio Apartment near Mall By Travelio - Jakarta,Full Furnished,1,1.0,1300.0,"Jl. Jend. Basuki Rachmat No.1A, Cipinang Besar Sel., Jatinegara, Jakarta Timur, DKI Jakarta, 13410",106.88039,-6.22276,20.34,Seluruh Rumah / Apartemen,Apartemen,Apartemen Bassura City,H,22.0,"Queen Bed (160x200),Wardrobe,Air Conditioner,TV,Pillow,Hanger,AC Remote,Remote TV,Antena Building,Mirror,TV Cabinet,Bed Config :,1 Queen Bed (160x200)","Gas Stove (Not Portable),Refrigerator,Rice Cooker,Glass Wiper,Fork,Plate,Mug,Bowl,Kitchen Cabinet,Electric Kettle,Water Dispenser,Dustbin,Tablespoon,Chopping Board,Cooking Knife,Frying Pan,Sauce Pan,Spatula,Ladle Soup,Kitchen Scissor,Gallon","24-Hour Security,24-Hours Frontdesk,ATM On Site,Access Card,CCTV In Public Area,Cafe,Coffee Shop,Elevator,Fitness Center,Jogging Track,Laundry (Charge),Mall Access,Playground,Restaurant,Shops,Supermarket,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,3607600.0
225,Comfy Studio at Kalibata City Apartment near Duren Kalibata Station By Travelio - Jakarta,Full Furnished,1,1.0,1300.0,"Jl. Raya Kalibata No.1, RT.9/RW.4, Rawajati, Pancoran, Jakarta Selatan, DKI Jakarta, 12750",106.85088761150837,-6.25698199288882,16.74,Seluruh Rumah / Apartemen,Apartemen,Apartemen Kalibata City,A,12.0,"Queen Bed (160x200),Wardrobe,Air Conditioner,TV,Pillow,Hanger,AC Remote,Remote TV,Antena Building,Mirror,Bed Config :,1 Queen Bed (160x200)","Gas Stove,Refrigerator,Rice Cooker,Glass Wiper,Fork,Plate,Mug,Bowl,Kitchen Cabinet,Electric Kettle,Dustbin,Tablespoon,Chopping Board,Cooking Knife,Frying Pan,Sauce Pan,Spatula,Ladle Soup,Kitchen Scissor","ATM On Site,Cafe,Jogging Track,Laundry (Charge),Playground,Restaurant",5.0,5.0,5.0,5.0,5.0,5.0,5.0,3609912.0
226,Best Deal Studio at Kebagusan City Apartment By Travelio - Jakarta,Full Furnished,1,1.0,900.0,"Jl. Baung, Jagakarsa, Jakarta Selatan, DKI Jakarta, 12520",106.83596312999725,-6.306015678701854,27.91,Seluruh Rumah / Apartemen,Apartemen,Apartemen Kebagusan City,B,,"Bowl,Chopping Board,Cooking Knife,Dustbin,Fork,Frying Pan,Gas Stove,Kettle (Siul),Kitchen Set,Plate,Refrigerator,Sauce Pan,Spatula,Tablespoon","Dustbin,Shower,Bathroom Sink,Toilet Brush,Toilet Bowl","24-Hour Security,ATM On Site,Access Card,CCTV Public Area,Cafe,Elevator,Laundry (Charge),Playground,Restaurant,Supermarket,Swimming Pool",4.9,4.9,4.9,4.9,4.9,4.9,4.9,3615174.0
227,Comfortable and Clean Studio Green Palace Kalibata Apartment By Travelio - Jakarta,Full Furnished,1,1.0,1300.0,"Jl. Raya Kalibata No.09/04, RT.1 Rt/RW.4, Rawajati, Pancoran, Jakarta Selatan, DKI Jakarta, 12750",106.85046046972275,-6.256900672828798,17.68,Seluruh Rumah / Apartemen,Apartemen,Apartemen Green Palace Kalibata,Raffles,19.0,"Queen Bed (160x200),Wardrobe,Air Conditioner,Curtain,TV,Modem Portable,Pillow,Hanger,AC Remote,Remote TV,Antena Building,Bed Config :,1 Queen Bed (160x200)","Gas Stove,Refrigerator,Rice Cooker,Glass Wiper,Fork,Plate,Bowl,Kitchen Cabinet,Electric Kettle,Dustbin,Tablespoon,Chopping Board,Cooking Knife,Frying Pan,Sauce Pan,Spatula,Ladle Soup,Kitchen Scissor,Glass","ATM On Site,Access Card,Cafe,Elevator,Laundry (Charge),Playground,Restaurant,Shops",4.9,4.9,4.9,4.9,4.9,4.9,4.9,3470000.0
228,Scenic and Comfy Studio at Puri Mansion Apartment By Travelio - Jakarta,Full Furnished,1,1.0,2200.0,"Jl. Lkr. Luar Barat, RT.8/RW.2, Kembangan Selatan, Cengkareng, Jakarta Barat, DKI Jakarta, 11610",106.72348737716675,-6.181152895972963,21.0,Seluruh Rumah / Apartemen,Apartemen,Apartemen Puri Mansion,TD,29.0,"Queen Bed (160x200),Wardrobe,Air Conditioner,Blackout Curtain,TV,Pillow,Hanger,AC Remote,Remote TV,Antena Building,Bed Config :,1 Queen Bed (160x200)","Gas Stove,Refrigerator,Rice Cooker,Glass Wiper,Fork,Plate,Mug,Bowl,Kitchen Cabinet,Electric Kettle,Dustbin,Tablespoon,Chopping Board,Cooking Knife,Frying Pan,Sauce Pan,Spatula,Ladle Soup,Kitchen Scissor,Washing Machine","24-Hour Security,Access Card,CCTV In Public Area,Elevator,Jogging Track,Playground,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,3470000.0
229,Studio Tifolia Apartment near Kelapa Gading By Travelio - Jakarta,Full Furnished,1,1.0,900.0,"Jl. Perintis Kemerdekaan No.23, RW.16, Kayu Putih, Pulo Gadung, Jakarta Timur, DKI Jakarta, 13210",106.89268112182617,-6.175350308134791,22.0,Seluruh Rumah / Apartemen,Apartemen,Apartemen Tifolia,Tifolia,9.0,"Bowl,Chopping Board,Dining Chair,Dining Table,Fork,Frying Pan,Gas Stove,Kettle (Siul),Mug,Plate,Refrigerator,Scissor,Tablespoon","Queen Bed (160x200),Pillow,Wardrobe,Hanger,Air Conditioner,TV,Table,Bed Config :,1 Queen (160x200)","24-Hour Security,CCTV In Public Area,Elevator,Swimming Pool",4.9,4.9,4.9,4.9,4.9,4.9,4.9,3470000.0
230,Luxury Studio at Tifolia Apartment By Travelio - Jakarta,Full Furnished,1,1.0,1300.0,"Jl. Perintis Kemerdekaan No.23, RW.16, Kayu Putih, Pulo Gadung, Jakarta Timur, DKI Jakarta, 13210",106.89268112182617,-6.175350308134791,21.0,Seluruh Rumah / Apartemen,Apartemen,Apartemen Tifolia,TF,22.0,"Queen Bed (160x200),Wardrobe,Air Conditioner,Blackout Curtain,TV 32"",Pillow,Hanger,AC Remote,Remote TV,Cable TV,Mirror,Dining Chair,Dining Table,Coffee Table,Bed Config :,1 Queen Bed (160x200)","Electric Stove,Refrigerator,Rice Cooker,Glass Wiper,Fork,Plate,Mug,Bowl,Kitchen Cabinet,Electric Kettle,Dustbin,Tablespoon,Chopping Board,Cooking Knife,Frying Pan,Sauce Pan,Spatula,Ladle Soup,Kitchen Scissor","24-Hour Security,CCTV In Public Area,Elevator,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,3470000.0
231,Sea View Studio Apartment at Green Bay Pluit By Travelio - Jakarta,Full Furnished,1,1.0,2200.0,"Jl. Pluit Karang Ayu 1 No.B1, RT.20/RW.2, Pluit, Penjaringan, Jakarta Utara, DKI Jakarta, 14450",106.77899301052094,-6.108615992663808,18.3,Seluruh Rumah / Apartemen,Apartemen,Apartemen Green Bay Pluit,D,29.0,"Electric Stove,Fork,Frying Pan,Mops,Mug,Plate,Refrigerator,Sauce Pan,Scissor,Spatula,Tablespoon,Teko Elektrik,Water Dispenser","Dustbin,Tissue Holder,Shower,Water Heater,Toilet Brush,Toilet Bowl,Exhaust Fan","ATM On Site,Basketball Court,Cafe,Fitness Center,Jogging Track,Laundry (Charge),Playground,Restaurant,Supermarket,Swimming Pool",4.9,4.9,4.9,4.9,4.9,4.9,4.9,3921191.0
232,Pool View Studio at Kebagusan City Apartment By Travelio - Jakarta,Full Furnished,1,1.0,900.0,"Jl. Baung, Jagakarsa, Jakarta Selatan, DKI Jakarta, 12520",106.83596312999725,-6.306015678701854,26.0,Seluruh Rumah / Apartemen,Apartemen,Apartemen Kebagusan City,A,,"Bowl,Chopping Board,Cooking Knife,Dining Chair,Dining Table,Dustbin,Fork,Frying Pan,Gas Stove,Kettle (Siul),Kitchen Set,Mops,Mug,Plate,Refrigerator,Sauce Pan,Scissor,Spatula,Tablespoon","Mirror,Curtain,Air Conditioner,TV,Chair,Desk","24-Hour Security,ATM On Site,Access Card,CCTV Public Area,Cafe,Elevator,Laundry (Charge),Playground,Restaurant,Supermarket,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,3621650.0
233,Comfort Living and Strategic Studio at Kebagusan City Apartment By Travelio - Jakarta,Full Furnished,2,1.0,900.0,"Jl. Baung, Jagakarsa, Jakarta Selatan, DKI Jakarta, 12520",106.83596312999725,-6.306015678701854,28.73,Seluruh Rumah / Apartemen,Apartemen,Apartemen Kebagusan City,CHRYSANT,17.0,"Single Bed (100x200),Wardrobe,Air Conditioner,Curtain,TV,Pillow,Hanger,AC Remote,Remote TV,Antena Indoor,Mirror,Vanity Desk,Side Table,Sofa Bed,Dining Chair,Dining Table,Extension Cable,Super Single Bed (120x200),Bed Config :,1 Single Bed (100x200),1 Super Single Bed (120x200)","Gas Stove,Refrigerator,Rice Cooker,Glass Wiper,Fork,Plate,Mug,Bowl,Kitchen Cabinet,Electric Kettle,Dustbin,Tablespoon,Chopping Board,Cooking Knife,Frying Pan,Sauce Pan,Spatula,Ladle Soup,Kitchen Scissor","24-Hour Security,ATM On Site,Access Card,CCTV Public Area,Cafe,Elevator,Laundry (Charge),Playground,Restaurant,Supermarket,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,3944033.0
234,Elegant and Comfy Studio Apartment Belmont Residence Puri By Travelio - Jakarta,Full Furnished,1,1.0,1300.0,"Jl. Kebon Jeruk Indah Utama, RT.8/RW.7, Srengseng, Kembangan, Jakarta Barat, DKI Jakarta, 11630",106.76275759935379,-6.200400178473442,21.77,Seluruh Rumah / Apartemen,Apartemen,Apartemen Belmont Residence Puri,EVEREST,2.0,"Queen Bed (160x200),Wardrobe,Air Conditioner,Curtain,TV 32"",Pillow,Hanger,AC Remote,Remote TV,Cable TV,Bed Config :,1 Queen Bed (160x200)","Gas Stove (Not Portable),Refrigerator,Rice Cooker,Glass Wiper,Fork,Plate,Mug,Bowl,Kitchen Cabinet,Electric Kettle,Dustbin,Tablespoon,Chopping Board,Cooking Knife,Frying Pan,Sauce Pan,Spatula,Ladle Soup,Kitchen Scissor","24-Hour Security,24-Hours Frontdesk,ATM On Site,Access Card,CCTV In Public Area,Cafe,Coffee Shop,Elevator,Laundry (Charge),Restaurant,Supermarket,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,3682449.0
235,Cozy and Homey Studio at Belmont Residence Puri Apartment By Travelio - Jakarta,Full Furnished,2,1.0,1200.0,"Jl. Kebon Jeruk Indah Utama, RT.8/RW.7, Srengseng, Kembangan, Jakarta Barat, DKI Jakarta, 11630",106.76275759935379,-6.200400178473442,21.35,Seluruh Rumah / Apartemen,Apartemen,Apartemen Belmont Residence Puri,Athena,7.0,"Trundle Bed (Super Single Bed & Super Single Underbed),Wardrobe,Air Conditioner,Curtain,TV,Pillow,Hanger,AC Remote,Remote TV,Cable TV,Mirror,Dining Chair,TV Cabinet,Bed Config :,1 Trundle Bed (Super Single Bed & Super Single Underbed)","Electric Stove,Refrigerator,Rice Cooker,Glass Wiper,Fork,Plate,Mug,Bowl,Kitchen Cabinet,Electric Kettle,Dustbin,Tablespoon,Chopping Board,Cooking Knife,Frying Pan,Sauce Pan,Spatula,Ladle Soup,Kitchen Scissor","24-Hour Security,24-Hours Frontdesk,ATM On Site,Access Card,CCTV In Public Area,Cafe,Coffee Shop,Elevator,Laundry (Charge),Restaurant,Supermarket,Swimming Pool",4.9,4.9,4.9,4.9,4.9,4.9,4.9,4102867.0
236,Stunning Studio Apartment at Belmont Residence Puri By Travelio - Jakarta,Full Furnished,2,1.0,1300.0,"Jl. Kebon Jeruk Indah Utama, RT.8/RW.7, Srengseng, Kembangan, Jakarta Barat, DKI Jakarta, 11630",106.76275759935379,-6.200400178473442,21.35,Seluruh Rumah / Apartemen,Apartemen,Apartemen Belmont Residence Puri,ATHENA,15.0,"Trundle Bed (Super Single & Single Underbed),Wardrobe,Air Conditioner,Curtain,TV,Pillow,Hanger,AC Remote,Remote TV,Antena Indoor,Vanity Desk,Set Up Box TV,Shelf Decor,Chair,Table,Fixline,Bed Config :,1 Trundle Bed (Super Single & Single Underbed)","Gas Stove,Refrigerator,Rice Cooker,Glass Wiper,Fork,Plate,Mug,Bowl,Kitchen Cabinet,Kettle (Siul),Dustbin,Tablespoon,Chopping Board,Cooking Knife,Frying Pan,Sauce Pan,Spatula,Ladle Soup","24-Hour Security,24-Hours Frontdesk,ATM On Site,Access Card,CCTV In Public Area,Cafe,Coffee Shop,Elevator,Laundry (Charge),Restaurant,Supermarket,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,4052867.0
237,Tranquil Living Studio at Belmont Residence Puri Apartment By Travelio - Jakarta,Full Furnished,1,1.0,1300.0,"Jl. Kebon Jeruk Indah Utama, RT.8/RW.7, Srengseng, Kembangan, Jakarta Barat, DKI Jakarta, 11630",106.76275759935379,-6.200400178473442,21.35,Seluruh Rumah / Apartemen,Apartemen,Apartemen Belmont Residence Puri,Athena,20.0,"Queen Bed (160x200),Wardrobe,Air Conditioner,Curtain,TV,Pillow,Hanger,AC Remote,Remote TV,Cable TV,Chair,Table,Bed Config :,1 Queen Bed (160x200)","Electric Stove,Refrigerator,Rice Cooker,Glass Wiper,Fork,Plate,Mug,Bowl,Kitchen Cabinet,Electric Kettle,Water Dispenser (Empty),Dustbin,Tablespoon,Chopping Board,Cooking Knife,Frying Pan,Sauce Pan,Spatula,Ladle Soup,Kitchen Scissor","24-Hour Security,24-Hours Frontdesk,ATM On Site,Access Card,CCTV In Public Area,Cafe,Coffee Shop,Elevator,Laundry (Charge),Restaurant,Supermarket,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,3992867.0
